CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-01;Centre;48;47;95
B-02;Coll i Pujol;14;17;31
B-03;Dalt de la Vila;19;23;42
B-04;Gorg;27;23;50
B-05;Progrés;41;31;72
B-06;Raval;24;42;66
B-07;Can Claris;6;8;14
B-08;Canyet;6;4;10
B-09;Bufalà;74;76;150
B-10;Bonavista;7;5;12
B-11;Manresà;1;2;3
B-12;Canyadó;18;5;23
B-13;Casagemes;41;57;98
B-15;Pomar;23;29;52
B-16;Morera;28;46;74
B-17;Mas Ram;2;0;2
B-18;Pomar de Dalt;0;1;1
B-19;Sant Crist de Can Cabanyes;52;42;94
B-20;Nova Lloreda;48;33;81
B-21;Sistrells;18;20;38
B-22;La Salut;76;60;136
B-23;Lloreda;14;9;23
B-24;La Pau;16;11;27
B-25;Puigfred;35;18;53
B-27;Sant Joan de Llefià;66;40;106
B-28;Sant Antoni de Llefià;79;74;153
B-29;Sant Mori de Llefià;71;74;145
B-30;Artigas;23;15;38
B-31;Sant Roc;54;43;97
B-32;Congrés;24;24;48
B-33;El Remei;1;1;2
B-34;La Mora;1;1;2
B-35;Montigalà Oriental;15;20;35
B-36;Montigalà Occidental;2;5;7
B-DESCONEGUT;DESCONEGUT;30;22;52
